Lp.;Oddział;Województwo;Zarządca;Miejscowość;Dane identyfikacyjne;Obecna Kategoria;Kat_docel;x;y;Klasa techniczna drogi;Nr drogi;Pikietaż;Kierunek;Parking Osobowe;Parking Ciężarowe;Parking Autobus;Toalety;Stacja paliw;Restauracja /Bistro;Miejsca noclegowe;Ładowanie pojazdów elektrycznych;Ochrona;Ogrodzenie;Monitoring wideo;Oświetlenie;Miejsca dla pojazdów z ładunkiem niebezpiecznym;Myjnia;Warsztat;Miejsca zrzutu nieczystości płynnych;Prysznic;Możliwość tankowania wodorem;Możliwość tankowania CNG;Możliwość tankowania LNG;Rampy do odśnieżania
227;Poznań;wielkopolskie;Koncesjonariusz - AWSA;Września;Chwałszyce;MOP funkcja podstawowa;MOP funkcja podstawowa;52.31835;17.419727;A;2;200+200;Poznań;25;33;3;tak;nie;nie;nie;tak;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
228;Poznań;wielkopolskie;Koncesjonariusz - AWSA;Września;Targowa Górka;MOP funkcja podstawowa;MOP funkcja podstawowa;52.317733;17.42051;A;2;200+200;Warszawa;25;33;3;tak;nie;nie;nie;tak;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
229;Poznań;wielkopolskie;Koncesjonariusz - AWSA;Września;Sołeczno;MOP funkcja komercyjna;MOP funkcja komercyjna;52.294568;17.653817;A;2;216+500;Poznań;33;23;3;tak;tak;tak;nie;tak;nie;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
230;Poznań;wielkopolskie;Koncesjonariusz - AWSA;Września;Gozdowo;MOP funkcja komercyjna;MOP funkcja komercyjna;52.293689;17.651972;A;2;216+500;Warszawa;29;18;3;tak;tak;tak;nie;tak;nie;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
231;Poznań;wielkopolskie;Koncesjonariusz - AWSA;Słupca;Skarboszewo;MOP funkcja podstawowa;MOP funkcja podstawowa;52.261245;17.788812;A;2;226+500;Poznań;25;12;3;tak;nie;nie;nie;tak;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
232;Poznań;wielkopolskie;Koncesjonariusz - AWSA;Słupca;Lądek;MOP funkcja podstawowa;MOP funkcja podstawowa;52.226183;17.931106;A;2;237+000;Warszawa;25;12;3;tak;nie;nie;nie;tak;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
233;Poznań;wielkopolskie;Koncesjonariusz - AWSA;Koniński;Osiecza Południe;MOP funkcja komercyjna;MOP funkcja komercyjna;52.179337;18.121165;A;2;251+100;Warszawa;94;23;3;tak;tak;tak;nie;tak;nie;tak;nie;tak;tak;nie;nie;nie;tak;nie;nie;nie;nie
234;Poznań;wielkopolskie;Koncesjonariusz - AWSA;Koniński;Osiecza Północ;MOP funkcja komercyjna;MOP funkcja komercyjna;52.179985;18.124925;A;2;251+300;Poznań;48;18;3;tak;tak;tak;nie;tak;nie;tak;nie;tak;tak;nie;nie;nie;tak;nie;nie;nie;nie
235;Poznań;wielkopolskie;GDDKiA;Pow. Turecki;Leonia;MOP funkcja podstawowa;MOP funkcja podstawowa;52.151764;18.456161;A;2;274+900;Warszawa;28;12;3;tak;nie;nie;nie;tak;nie;tak;tak;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
236;Poznań;wielkopolskie;GDDKiA;Pow. Turecki;Kuny;MOP funkcja podstawowa;MOP funkcja podstawowa;52.152975;18.456629;A;2;274+900;Poznań;36;15;4;tak;nie;nie;nie;tak;nie;tak;tak;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
237;Poznań;wielkopolskie;GDDKiA;Pow. Kolski;Police;MOP funkcja komercyjna;MOP funkcja komercyjna;52.135675;18.634064;A;2;287+350;Poznań;33;37;4;tak;tak;tak;tak;nie;nie;tak;tak;tak;tak;nie;tak;tak;nie;nie;nie;nie;nie
238;Poznań;wielkopolskie;GDDKiA;Pow. Kolski;Łęka;MOP funkcja komercyjna;MOP funkcja komercyjna;52.134391;18.633839;A;2;287+350;Warszawa;42;39;3;tak;tak;tak;tak;nie;nie;tak;tak;tak;tak;nie;tak;tak;nie;nie;nie;nie;nie
239;Poznań;wielkopolskie;GDDKiA;Pow. Kolski;Cichmiana;MOP funkcja podstawowa;MOP funkcja podstawowa;52.096878;18.771649;A;2;297+825;Warszawa;25;12;3;tak;nie;nie;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
240;Poznań;wielkopolskie;GDDKiA;Pow. Kolski;Sobótka;MOP funkcja podstawowa;MOP funkcja podstawowa;52.097733;18.772754;A;2;297+825;Poznań;25;12;3;tak;nie;nie;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
241;Poznań;wielkopolskie;GDDKiA;Łubowo;Łubowo;MOP funkcja komercyjna;MOP funkcja komercyjna;52.507973;17.470135;S;5d;3+348;Poznań;66;21;3;tak;tak;tak;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
242;Poznań;wielkopolskie;GDDKiA;Łubowo;Pierzyska;MOP funkcja komercyjna;MOP funkcja komercyjna;52.507571;17.472691;S;5d;3+348;Bydgoszcz;67;21;3;tak;tak;tak;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
243;Poznań;wielkopolskie;GDDKiA;Kostrzyn;Wagowo;MOP funkcja podstawowa;MOP funkcja podstawowa;52.432457;17.328668;S;5d;16+387;Poznań;20;15;3;tak;nie;nie;nie;nie;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
244;Poznań;wielkopolskie;GDDKiA;Kostrzyn;Sanniki;MOP funkcja podstawowa;MOP funkcja podstawowa;52.431401;17.330077;S;5d;16+387;Bydgoszcz;20;15;3;tak;nie;nie;nie;nie;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
245;Poznań;wielkopolskie;GDDKiA;Kostrzyn;Siekierki;MOP funkcja komercyjna;MOP funkcja komercyjna;52.369065;17.204826;S;5d;27+637;Poznań;59;23;5;tak;tak;tak;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
246;Poznań;wielkopolskie;GDDKiA;Kostrzyn;Czerlejno;MOP funkcja komercyjna;MOP funkcja komercyjna;52.364912;17.201296;S;5d;28+250;Bydgoszcz;61;23;5;tak;tak;tak;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
247;Poznań;wielkopolskie;GDDKiA;Bojanowo;Golina Wielka;MOP funkcja komercyjna;MOP funkcja komercyjna;51.68989;16.750083;S;5f;88+500;Poznań;40;55;10;tak;tak;tak;nie;nie;nie;tak;tak;tak;tak;nie;nie;nie;nie;nie;nie;tak;nie
248;Poznań;wielkopolskie;GDDKiA;Bojanowo;Trzebosz;MOP funkcja podstawowa;MOP funkcja podstawowa;51.689797;16.746875;S;5f;88+500;Wrocław;70;59;10;tak;nie;nie;nie;nie;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
249;Poznań;wielkopolskie;GDDKiA;Rawicz;Dębno;MOP funkcja podstawowa;MOP funkcja podstawowa;51.581887;16.848872;S;5f;103+500;Poznań;28;63;12;tak;nie;nie;nie;nie;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
250;Poznań;wielkopolskie;GDDKiA;Rawicz;Folwark;MOP funkcja komercyjna;MOP funkcja komercyjna;51.580698;16.846565;S;5f;103+500;Wrocław;30;44;14;tak;tak;tak;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;nie;nie;nie;tak;nie
251;Poznań;wielkopolskie;GDDKiA;Mieleszyn;Łabiszynek;MOP funkcja podstawowa;MOP funkcja podstawowa;52.608635;17.629078;S;5h;006+200;Bydgoszcz;49;35;3;tak;nie;nie;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
252;Poznań;wielkopolskie;GDDKiA;Mieleszyn;Modliszewko;MOP funkcja podstawowa;MOP funkcja podstawowa;52.608713;17.626642;S;5h;005+600;Poznań;49;35;3;tak;nie;nie;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
253;Poznań;wielkopolskie;GDDKiA;Palędzie;Palędzie;MOP funkcja komercyjna;MOP funkcja komercyjna;52.371907;16.765389;S;11c;23+200;Wrocław;43;26;5;tak;tak;tak;nie;nie;tak;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
254;Poznań;wielkopolskie;GDDKiA;Skórzewo;Skórzewo;MOP funkcja komercyjna;MOP funkcja komercyjna;52.371987;16.767911;S;11c;23+200;Poznań;43;27;5;tak;tak;tak;nie;nie;tak;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
255;Poznań;łódzkie;GDDKiA;Sokolniki;Ochędzyn;MOP funkcja podstawowa;MOP funkcja podstawowa;51.310363;18.241135;S;8e;119+100;Warszawa;45;43;3;tak;nie;nie;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
256;Poznań;łódzkie;GDDKiA;Sokolniki;Niwiska;MOP funkcja podstawowa;MOP funkcja podstawowa;51.311399;18.240706;S;8e;119+100;Wrocław;46;43;3;tak;nie;nie;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
257;Poznań;wielkopolskie;GDDKiA;Lipno;Gołanice;MOP funkcja podstawowa;MOP funkcja podstawowa;51.88195;16.509658;S;5i;7+100;Wrocław;67;30;4;tak;nie;nie;nie;nie;tak;tak;tak;tak;tak;nie;nie;nie;nie;nie;nie;nie;nie
258;Poznań;wielkopolskie;GDDKiA;Lipno;Wilkowice;MOP funkcja podstawowa;MOP funkcja komercyjna;51.884158;16.51205;S;5i;7+100;Poznań;39;28;4;tak;nie;nie;nie;nie;tak;tak;tak;tak;tak;nie;nie;tak;nie;nie;nie;nie;nie
259;Poznań;wielkopolskie;GDDKiA;Kokorzyn;Kokorzyn;MOP funkcja komercyjna;MOP funkcja komercyjna;52.094715;16.608576;S;5k;16+000;Wrocław;53;40;6;tak;tak;tak;nie;tak;tak;tak;tak;tak;tak;nie;nie;tak;nie;nie;nie;tak;nie
260;Poznań;wielkopolskie;GDDKiA;Sierakowo;Sierakowo;MOP funkcja komercyjna;MOP funkcja komercyjna;52.093607;16.610722;S;5k;16+000;Poznań;53;40;6;tak;tak;tak;nie;tak;tak;tak;tak;tak;tak;nie;nie;tak;nie;nie;nie;tak;nie
261;Poznań;wielkopolskie;GDDKiA;Zamysłowo;Zamysłowo;MOP funkcja podstawowa;MOP funkcja komercyjna;52.238295;16.675797;S;5e;14+900;Poznań;108;30;18;tak;nie;nie;nie;nie;nie;tak;tak;tak;tak;nie;nie;nie;nie;nie;nie;nie;nie
262;Poznań;wielkopolskie;GDDKiA;Wronczyn;Wronczyn;MOP funkcja podstawowa;MOP funkcja podstawowa;52.238101;16.674102;S;5e;14+900;Wrocław;54;29;7;tak;nie;nie;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
263;Poznań;wielkopolskie;GDDKiA;Kierzno;Kierzno Północ;MOP funkcja komercyjna;MOP funkcja komercyjna;51.323184;18.068306;S;8e;105+400;Wrocław;80;45;4;tak;tak;tak;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
264;Poznań;wielkopolskie;GDDKiA;Kierzno;Kierzno Południe;MOP funkcja komercyjna;MOP funkcja komercyjna;51.321488;18.069014;S;8e;105+400;Warszawa;80;45;4;tak;tak;tak;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
265;Poznań;wielkopolskie;GDDKiA;Jaryszki;Jaryszki;MOP funkcja komercyjna;MOP funkcja komercyjna;52.3333200445406;17.01898212407;S;11A;2+132;Poznań;14;7;7;tak;tak;tak;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
266;Rzeszów;podkarpackie;GDDKiA;Jaźwiny;Jastrząbka;MOP funkcja podstawowa;MOP funkcja podstawowa;50.09808;21.22138;A;4;518+358;Jędrzychowice;158;43;10;tak;nie;nie;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
267;Rzeszów;podkarpackie;GDDKiA;Jaźwiny;Jawornik;MOP funkcja podstawowa;MOP funkcja podstawowa;50.09724;21.22349;A;4;518+025;Korczowa;158;43;10;tak;nie;nie;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
268;Rzeszów;podkarpackie;GDDKiA;Paszczyna;Paszczyna Południe;MOP funkcja podstawowa;MOP funkcja komercyjna;50.09651;21.51993;A;4;540+863;Korczowa;79;45;5;tak;nie;nie;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
269;Rzeszów;podkarpackie;GDDKiA;Paszczyna;Paszczyna Północ;MOP funkcja komercyjna;MOP funkcja komercyjna;50.09756;21.51839;A;4;541+365;Jędrzychowice;84;43;5;tak;tak;tak;nie;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
270;Rzeszów;podkarpackie;GDDKiA;Bratkowice;Dąbry;MOP funkcja podstawowa;MOP funkcja podstawowa;50.10952;21.84501;A;4;564+816;Korczowa;172;40;12;tak;nie;nie;nie;nie;nie;tak;tak;tak;nie;nie;nie;tak;tak;nie;nie;nie;nie
271;Rzeszów;podkarpackie;GDDKiA;Bratkowice;Bratkowice;MOP funkcja podstawowa;MOP funkcja podstawowa;50.11074;21.84527;A;4;565+288;Jędrzychowice;175;40;12;tak;nie;nie;nie;nie;nie;tak;tak;tak;nie;nie;nie;tak;tak;nie;nie;nie;nie
272;Rzeszów;podkarpackie;GDDKiA;Palikówka;Łukawiec;MOP funkcja podstawowa;MOP funkcja komercyjna;50.09089;22.16614;A;4;588+600;Jędrzychowice;63;37;0;tak;nie;nie;nie;nie;nie;tak;nie;tak;tak;nie;nie;tak;nie;nie;nie;nie;nie
273;Rzeszów;podkarpackie;GDDKiA;Krzemienica;Palikówka;MOP funkcja komercyjna;MOP funkcja komercyjna;50.08932;22.17554;A;4;589+300;Korczowa;113;39;0;tak;tak;tak;tak;nie;tak;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
274;Rzeszów;podkarpackie;GDDKiA;Budy Łańcuckie;Budy;MOP funkcja podstawowa;MOP funkcja podstawowa;50.11294;22.40745;A;4;606+550;Jędrzychowice;53;16;0;tak;nie;nie;nie;tak;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
275;Rzeszów;podkarpackie;GDDKiA;Budy Łańcuckie;Młyniska;MOP funkcja podstawowa;MOP funkcja podstawowa;50.11191;22.4079;A;4;606+550;Korczowa;53;16;0;tak;nie;nie;nie;tak;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
276;Rzeszów;podkarpackie;GDDKiA;Cieszacin Wielki;Pawłosiów;MOP funkcja podstawowa;MOP funkcja komercyjna;49.99488;22.60802;A;4;628+064;Jędrzychowice;60;22;3;tak;nie;nie;nie;nie;nie;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
277;Rzeszów;podkarpackie;GDDKiA;Cieszacin Wielki;Cieszacin;MOP funkcja podstawowa;MOP funkcja komercyjna;49.99398;22.6061;A;4;627+814;Korczowa;60;22;3;tak;nie;nie;nie;nie;nie;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
278;Rzeszów;podkarpackie;GDDKiA;Kaszyce;Zamiechów;MOP funkcja podstawowa;MOP funkcja podstawowa;49.91755;22.75471;A;4;642+456;Jędrzychowice;40;16;2;tak;nie;nie;nie;nie;nie;tak;nie;tak;nie;nie;nie;tak;nie;nie;nie;nie;nie
279;Rzeszów;podkarpackie;GDDKiA;Zamiechów;Kaszyce;MOP funkcja podstawowa;MOP funkcja podstawowa;49.91586;22.76302;A;4;642+656;Korczowa;40;16;2;tak;nie;nie;nie;nie;nie;tak;nie;tak;nie;nie;nie;tak;nie;nie;nie;nie;nie
280;Rzeszów;podkarpackie;GDDKiA;Chotyniec;Chotyniec;MOP funkcja podstawowa;MOP funkcja komercyjna;49.9484;23.02183;A;4;665+250;Jędrzychowice;104;29;6;tak;nie;nie;nie;nie;nie;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
281;Rzeszów;podkarpackie;GDDKiA;Chotyniec;Hruszowice;MOP funkcja podstawowa;MOP funkcja komercyjna;49.94771;23.02461;A;4;662+350;Korczowa;104;180;6;tak;nie;nie;nie;nie;nie;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
282;Rzeszów;podkarpackie;GDDKiA;Domostawa;Bukowa II;MOP funkcja podstawowa;MOP funkcja podstawowa;50.611802;22.28918;S;19;398+088;Rzeszów;22;18;5;tak;nie;nie;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
283;Rzeszów;podkarpackie;GDDKiA;Domostawa;Bukowa I;MOP funkcja podstawowa;MOP funkcja podstawowa;50.611873;22.290904;S;19;398+088;Lublin;22;18;5;tak;nie;nie;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
284;Rzeszów;podkarpackie;GDDKiA;Jeżowe;Podgórze;MOP funkcja podstawowa;MOP funkcja komercyjna;50.386812;22.156492;S;19;428+400;Rzeszów;29;20;5;tak;nie;nie;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
285;Rzeszów;podkarpackie;GDDKiA;Jeżowe;Jeżowe;MOP funkcja podstawowa;MOP funkcja komercyjna;50.388114;22.157486;S;19;428+400;Lublin;22;20;3;tak;nie;nie;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
286;Rzeszów;podkarpackie;GDDKiA;Kamień;Kamień Zachód;MOP funkcja podstawowa;MOP funkcja podstawowa;50.2856058917977;22.1113101601496;S;19;444+000;Rzeszów;18;11;2;tak;nie;nie;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
287;Rzeszów;podkarpackie;GDDKiA;Kamień;Kamień Wschód;MOP funkcja podstawowa;MOP funkcja podstawowa;50.2855287559723;22.1127866657854;S;19;444+000;Lublin;18;11;2;tak;nie;nie;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
288;Szczecin;zachodniopomorskie;Prywatny;Żdżary;OOUR;Parking prywatny;Parking prywatny;53.581524;14.812446;S;3;67+353;Świnoujuście;48;4;0;tak;tak;tak;nie;nie;tak;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
289;Szczecin;zachodniopomorskie;Prywatny;Łozienica;OOUR;Parking prywatny;Parking prywatny;53.545771;14.801141;S;3;71+700;Gorzów Wlkp.;52;5;0;tak;tak;tak;nie;nie;tak;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
290;Szczecin;zachodniopomorskie;Prywatny;Barnisław;OOUR;Parking prywatny;Parking prywatny;53.338436;14.423056;A;6;0+950;Berlin;93;24;6;tak;tak;tak;nie;tak;tak;tak;tak;tak;nie;tak;nie;nie;tak;nie;nie;nie;nie
291;Szczecin;zachodniopomorskie;Prywatny;Barnisław;OOUR;Parking prywatny;Parking prywatny;53.336841;14.423271;A;6;0+950;Szczecin;98;84;8;tak;tak;tak;nie;tak;tak;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
292;Szczecin;zachodniopomorskie;Prywatny;Kołbaskowo;OOUR;Parking prywatny;Parking prywatny;53.342177;14.451723;A;6;3+000;Berlin;27;31;0;tak;tak;tak;nie;nie;tak;tak;tak;tak;tak;nie;nie;nie;tak;nie;nie;nie;nie
293;Szczecin;zachodniopomorskie;GDDKiA;Wysoka;Wysoka Zachód;MOP funkcja komercyjna;MOP funkcja komercyjna;53.305682;14.582623;S;3;3+900 ;Gorzów Wlkp.;91;23;2;tak;tak;tak;nie;nie;tak;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
294;Szczecin;zachodniopomorskie;GDDKiA;Wysoka;Wysoka Wschód;MOP funkcja komercyjna;MOP funkcja komercyjna;53.306139;14.585083;S;3;3+900 ;Szczecin;87;25;3;tak;tak;tak;tak;nie;tak;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
295;Szczecin;zachodniopomorskie;GDDKiA;Kunowo;Kunowo Zachód;MOP funkcja podstawowa;MOP funkcja podstawowa;53.151853;14.711559;S;3;23+500 ;Gorzów Wlkp.;34;12;3;tak;nie;nie;nie;tak;tak;tak;nie;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
296;Szczecin;zachodniopomorskie;GDDKiA;Kunowo;Kunowo Wschód;MOP funkcja podstawowa;MOP funkcja podstawowa;53.152421;14.713202;S;3;23+500 ;Szczecin;34;12;3;tak;nie;nie;nie;tak;tak;tak;nie;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
297;Szczecin;zachodniopomorskie;GDDKiA;Sitno;Sitno Wschód;MOP funkcja komercyjna;MOP funkcja komercyjna;53.051823;14.866857;S;3;39+900 ;Szczecin;119;25;2;tak;tak;tak;nie;nie;tak;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
298;Szczecin;zachodniopomorskie;GDDKiA;Sitno;Sitno Zachód;MOP funkcja komercyjna;MOP funkcja komercyjna;53.051509;14.864341;S;3;39+900 ;Gorzów Wlkp.;87;35;5;tak;tak;tak;nie;nie;tak;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
299;Szczecin;zachodniopomorskie;GDDKiA;Jarkowo Południe;Jarkowo Południe;MOP funkcja komercyjna;MOP funkcja komercyjna;53.986716;15.435521;S;6;67+673;Koszalin;67;18;3;tak;tak;tak;nie;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
300;Szczecin;zachodniopomorskie;GDDKiA;Jarkowo Północ;Jarkowo Północ;MOP funkcja komercyjna;MOP funkcja komercyjna;53.988521;15.434439;S;6;68+183;Szczecin;68;28;2;tak;tak;tak;nie;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
301;Szczecin;zachodniopomorskie;GDDKiA;Wyszogóra;Wyszogóra Zachód;MOP funkcja komercyjna;MOP funkcja komercyjna;53.743231;15.211664;S;6;35+400 ;Szczecin;67;18;2;tak;nie;nie;nie;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
302;Szczecin;zachodniopomorskie;GDDKiA;Wyszogóra;Wyszogóra Wschód;MOP funkcja komercyjna;MOP funkcja komercyjna;53.742635;15.214222;S;6;34+800;Koszalin;67;18;2;tak;nie;nie;nie;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
303;Szczecin;zachodniopomorskie;GDDKiA;Tymień Północ;Tymień Północ;MOP funkcja podstawowa;MOP funkcja podstawowa;54.191411;15.859089;S;6;108+713;Szczecin;60;19;1;tak;nie;nie;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
304;Szczecin;zachodniopomorskie;GDDKiA;Tymień Południe;Tymień Południe;MOP funkcja podstawowa;MOP funkcja podstawowa;54.189732;15.858948;S;6;108+713;Koszalin;60;20;1;tak;nie;nie;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
305;Szczecin;zachodniopomorskie;GDDKiA;Przybiernów;Przybiernów Zachód;MOP funkcja podstawowa;MOP funkcja komercyjna;53.767585;14.780252;S;3;45+460;Kołbaskowo;68;20;3;tak;nie;nie;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
306;Szczecin;zachodniopomorskie;GDDKiA;Przybiernów;Przybiernów Wschód;MOP funkcja podstawowa;MOP funkcja komercyjna;53.767471;14.781776;S;3;45+460;Świnoujuście;68;20;3;tak;nie;nie;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
307;Szczecin;zachodniopomorskie;GDDKiA;Dargiń;Dargiń Południe;MOP funkcja podstawowa;MOP funkcja komercyjna;54.027012;16.412451;S;11;33+000;Szczecinek;54;20;6;tak;nie;nie;nie;nie;nie;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
308;Szczecin;zachodniopomorskie;GDDKiA;Dargiń;Dargiń Północ;MOP funkcja podstawowa;MOP funkcja komercyjna;54.027642;16.413829;S;11;33+000;Koszalin;54;20;6;tak;nie;nie;nie;nie;nie;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
309;Szczecin;zachodniopomorskie;GDDKiA;Niekłonice;Niekłonice Wschód;MOP funkcja podstawowa;MOP funkcja komercyjna;54.148374;16.130491;S;11;4+800;Szczecinek;54;20;5;tak;nie;nie;nie;nie;nie;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
310;Szczecin;zachodniopomorskie;GDDKiA;Niekłonice;Niekłonice Zachód;MOP funkcja podstawowa;MOP funkcja komercyjna;54.150153;16.136758;S;11;4+800;Koszalin;54;20;5;tak;nie;nie;nie;nie;nie;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
311;Warszawa;mazowieckie;GDDKiA;Baranów;Baranów Północ;MOP funkcja komercyjna;MOP funkcja komercyjna;52.111579;20.464546;A;2;427+600;Poznań;198;35;6;tak;tak;tak;nie;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
312;Warszawa;mazowieckie;GDDKiA;Baranów;Baranów Południe;MOP funkcja komercyjna;MOP funkcja komercyjna;52.109503;20.46107;A;2;426+900;Warszawa;111;25;6;tak;tak;tak;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
313;Warszawa;mazowieckie;GDDKiA;Brwinów;Brwinów Północ;MOP funkcja komercyjna;MOP funkcja komercyjna;52.155763;20.685806;A;2;443+800;Poznań;90;25;9;tak;tak;tak;nie;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
314;Warszawa;mazowieckie;GDDKiA;Brwinów;Brwinów Południe;MOP funkcja komercyjna;MOP funkcja komercyjna;52.154605;20.686273;A;2;443+100;Warszawa;150;35;8;tak;tak;tak;nie;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
315;Warszawa;mazowieckie;GDDKiA;Jakubów;Moczydła;MOP funkcja podstawowa;MOP funkcja komercyjna;52.20389;21.719099;A;2;537+599;Warszawa;48;15;8;tak;nie;nie;nie;nie;tak;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
316;Warszawa;mazowieckie;GDDKiA;Jakubów;Jędrzejów;MOP funkcja podstawowa;MOP funkcja komercyjna;52.202318;21.719099;A;2;536+845;Terespol;63;22;8;tak;nie;nie;nie;nie;tak;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
317;Warszawa;mazowieckie;GDDKiA;Ostrów Kania;Ostrów Kania Północ;MOP funkcja komercyjna;MOP funkcja komercyjna;52.213386;21.460903;A;2;502+800;Warszawa;92;24;6;tak;tak;tak;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
318;Warszawa;mazowieckie;GDDKiA;Ostrów Kania;Ostrów Kania Południe;MOP funkcja komercyjna;MOP funkcja komercyjna;52.211541;21.46027;A;2;502+800;Terespol;100;22;6;tak;tak;tak;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
